name,category,tier,exclusions,conflicts,premium
Handmade Haven,craft,silver,
Silver Moon Jewelry,jewelry,platinum,
Joe's BBQ,food,gold,
Tie Dye Dreams,clothing,bronze,
Quick Caricatures,services,silver,
Knotty by Nature,craft,silver,
Mama Rosa's Kitchen,food,silver,
Sunrise Tacos,food,bronze,
The Craft Barn,craft,bronze,
Stitch & Stone,craft,gold,
The Smoky Pit,food,bronze,
Sunset Paintings,art,bronze,
Coastal Creamery,food,bronze,
Woodwork Wonders,craft,gold,
Coastal Gems,jewelry,gold,
Face Paint Fantasy,services,gold,
Beachside Bites,food,silver,
Festival Maps & More,other,silver,
Paper & Thread,craft,bronze,
The Potters Wheel,craft,silver,
Grill & Chill,food,silver,
Thread & Needle,clothing,silver,
Noodle Shack,food,gold,
Fryin' Saucer,food,bronze,
Boho Beach Wear,clothing,bronze,
The Waffle House,food,bronze,
Sunscreen Station,other,silver,
Sweet Corn Stand,food,gold,
Color Splash Studio,art,gold,
Bead & Wire Studio,jewelry,silver,
Sea Glass Designs,jewelry,silver,
Twisted Metal Co,jewelry,bronze,
Sun Kissed Apparel,clothing,bronze,
Ocean Brush Art,art,silver,
The Canvas Collective,art,silver,cat:art
The Hat Shack,clothing,bronze,
Henna by Hannah,services,gold,
Bayou Boil,food,gold,
Pearl Cove Jewelry,jewelry,gold,
Candle Cove Crafts,craft,bronze,
Vintage Vibes Clothing,clothing,bronze,
Driftwood Gallery,art,gold,
Lemon Drop Lemonade,food,bronze,
Woven Winds,craft,gold,
Palette Knife Works,art,platinum,
Stone & Spark,jewelry,platinum,
Palm Reading Palace,services,gold,
Leather & Lace Co,craft,platinum,
Coastal Threads,clothing,bronze,
Pizza Planet Cart,food,gold,
Watercolor Wonders,art,bronze,
Island Wear Co,clothing,platinum,
Abstract Horizons,art,gold,
Island Jerk Hut,food,silver,
Funnel Cake Factory,food,silver,
Amber Wave Designs,jewelry,bronze,
Boardwalk Burgers,food,gold,
Pho Real,food,gold,
Crystal Clear Jewelry,jewelry,bronze,
Bohemian Baubles,jewelry,gold,
Coastal Impressions,art,gold,
Breeze Boutique,clothing,silver,
Crab Cake Cove,food,bronze,
Photo Booth Fun,services,platinum,
Kettle Corn King,food,gold,
Festival Fashion,clothing,gold,
Soap Suds Studio,craft,bronze,cat:art
Stitched Up Style,clothing,silver,
