name,category,tier,exclusions
Quick Caricatures,services,platinum,
Handmade Haven,craft,platinum,
Sunset Paintings,art,silver,
Festival Maps & More,other,gold,
Knotty by Nature,craft,silver,
Sunscreen Station,other,gold,
Color Splash Studio,art,gold,cat:jewelry
Silver Moon Jewelry,jewelry,bronze,
Ocean Brush Art,art,platinum,
The Canvas Collective,art,gold,cat:art
Face Paint Fantasy,services,bronze,
The Craft Barn,craft,bronze,
Tie Dye Dreams,clothing,gold,
Joe's BBQ,food,silver,
Mama Rosa's Kitchen,food,bronze,
Sunrise Tacos,food,silver,
Coastal Gems,jewelry,platinum,
The Smoky Pit,food,bronze,
Coastal Creamery,food,gold,
Stitch & Stone,craft,gold,
Beachside Bites,food,bronze,
Grill & Chill,food,silver,
Driftwood Gallery,art,silver,
Noodle Shack,food,silver,
Fryin' Saucer,food,silver,
Bead & Wire Studio,jewelry,bronze,
Thread & Needle,clothing,bronze,
Palette Knife Works,art,silver,cat:jewelry
Woodwork Wonders,craft,silver,
Henna by Hannah,services,bronze,
The Waffle House,food,bronze,
Paper & Thread,craft,bronze,
Palm Reading Palace,services,gold,
Sweet Corn Stand,food,bronze,
Bayou Boil,food,gold,
Lemon Drop Lemonade,food,bronze,
Pizza Planet Cart,food,bronze,
Photo Booth Fun,services,gold,
Island Jerk Hut,food,bronze,
The Potters Wheel,craft,silver,
Funnel Cake Factory,food,silver,
Candle Cove Crafts,craft,bronze,
Sea Glass Designs,jewelry,silver,
Airbrush Alley,services,bronze,
Boardwalk Burgers,food,gold,
Balloon Twist Co,services,silver,
Woven Winds,craft,silver,
Watercolor Wonders,art,gold,
Tarot by the Sea,services,silver,
Twisted Metal Co,jewelry,gold,
Pho Real,food,silver,
Hair Wrap Haven,services,bronze,
Crab Cake Cove,food,gold,
Kettle Corn King,food,platinum,
Curry Up Now,food,bronze,
Taco Libre,food,gold,
Temp Tattoo Studio,services,bronze,
Portrait Sketches,services,silver,
Pet Bandana Booth,other,silver,
Leather & Lace Co,craft,silver,
Soap Suds Studio,craft,bronze,cat:art
Sushi Roll Wagon,food,silver,
Eco Straw Co,other,bronze,
Glitter Bar,services,gold,
Hot Dog Haven,food,bronze,
Plant Pals,other,gold,
Crepe Escape,food,silver,
The Pretzel Twist,food,gold,
Mango Tango Smoothies,food,silver,
Abstract Horizons,art,silver,cat:art
Coastal Impressions,art,bronze,
Seascape Studio,art,gold,
Empanada Express,food,bronze,
Lobster Roll Co,food,silver,
Brisket Boss,food,gold,
Boho Beach Wear,clothing,silver,
Glassblown Treasures,craft,bronze,
Macrame Magic,craft,silver,
Joe's BBQ #2,food,platinum,
Vivid Visions Art,art,bronze,
Dye Hard Crafts,craft,bronze,
Rustic Revival,craft,bronze,
Handmade Haven #2,craft,bronze,
Quick Caricatures #2,services,bronze,
Magnet Mania,other,platinum,
Pearl Cove Jewelry,jewelry,bronze,
Sun Kissed Apparel,clothing,platinum,
Stone & Spark,jewelry,platinum,
Face Paint Fantasy #2,services,gold,
Henna by Hannah #2,services,gold,
Palm Reading Palace #2,services,gold,
Mama Rosa's Kitchen #2,food,bronze,
The Hat Shack,clothing,bronze,
Amber Wave Designs,jewelry,bronze,
Crystal Clear Jewelry,jewelry,silver,
Spectrum Fine Art,art,silver,
Gallery on the Green,art,bronze,cat:jewelry
Knotty by Nature #2,craft,silver,cat:art
Vintage Vibes Clothing,clothing,bronze,
Sticker Shock,other,gold,
